"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","274","Create a new pet","Pet Store API","Sun Apr 26 04:59:43 UTC 2026","passed","Sun Apr 26 04:59:43 UTC 2026","Pet Store - Pet API","petstore/pet.spec.ts","",""
"","502","GET all products","DummyJSON API","Sun Apr 26 04:59:42 UTC 2026","passed","Sun Apr 26 04:59:42 UTC 2026","DummyJSON Products API","dummyjson/product.spec.ts","",""
"","95","Find pets by status","Pet Store API","Sun Apr 26 04:59:43 UTC 2026","passed","Sun Apr 26 04:59:43 UTC 2026","Pet Store - Pet API","petstore/pet.spec.ts","",""
"","40","Get user by username","Pet Store API","Sun Apr 26 04:59:43 UTC 2026","passed","Sun Apr 26 04:59:44 UTC 2026","Pet Store - User API","petstore/user.spec.ts","",""
"","417","should load the coffee menu page","Coffee Cart","Sun Apr 26 04:59:47 UTC 2026","passed","Sun Apr 26 04:59:47 UTC 2026","CoffeeCart - Menu Tests","coffee-cart/menu.spec.ts","",""
"","193","Create a new user","Pet Store API","Sun Apr 26 04:59:43 UTC 2026","passed","Sun Apr 26 04:59:43 UTC 2026","Pet Store - User API","petstore/user.spec.ts","",""
"","560","Login with valid credentials","DummyJSON API","Sun Apr 26 04:59:42 UTC 2026","passed","Sun Apr 26 04:59:42 UTC 2026","DummyJSON Auth API","dummyjson/auth.spec.ts","",""
"","37","Delete user","Pet Store API","Sun Apr 26 04:59:44 UTC 2026","passed","Sun Apr 26 04:59:44 UTC 2026","Pet Store - User API","petstore/user.spec.ts","",""
"","785","should login with valid credentials","Sauce Demo","Sun Apr 26 04:59:44 UTC 2026","passed","Sun Apr 26 04:59:45 UTC 2026","@login SauceDemo - Login Tests","sauce-demo/login.spec.ts","",""
"","407","should add espresso to cart","Coffee Cart","Sun Apr 26 04:59:48 UTC 2026","passed","Sun Apr 26 04:59:48 UTC 2026","CoffeeCart - Menu Tests","coffee-cart/menu.spec.ts","",""
"","59","DELETE a product","DummyJSON API","Sun Apr 26 04:59:42 UTC 2026","passed","Sun Apr 26 04:59:42 UTC 2026","DummyJSON Products API","dummyjson/product.spec.ts","",""
"","40","Get pet by ID","Pet Store API","Sun Apr 26 04:59:43 UTC 2026","passed","Sun Apr 26 04:59:43 UTC 2026","Pet Store - Pet API","petstore/pet.spec.ts","",""
"","537","should show error for invalid credentials","Sauce Demo","Sun Apr 26 04:59:45 UTC 2026","passed","Sun Apr 26 04:59:46 UTC 2026","@login SauceDemo - Login Tests","sauce-demo/login.spec.ts","",""
"","90","Login with invalid credentials returns error","DummyJSON API","Sun Apr 26 04:59:42 UTC 2026","passed","Sun Apr 26 04:59:43 UTC 2026","DummyJSON Auth API","dummyjson/auth.spec.ts","",""
"","366","should display espresso on the menu","Coffee Cart","Sun Apr 26 04:59:47 UTC 2026","passed","Sun Apr 26 04:59:48 UTC 2026","CoffeeCart - Menu Tests","coffee-cart/menu.spec.ts","",""
"","541","should show error for locked out user","Sauce Demo","Sun Apr 26 04:59:46 UTC 2026","passed","Sun Apr 26 04:59:46 UTC 2026","@login SauceDemo - Login Tests","sauce-demo/login.spec.ts","",""
"","182","Get current authenticated user","DummyJSON API","Sun Apr 26 04:59:42 UTC 2026","passed","Sun Apr 26 04:59:42 UTC 2026","DummyJSON Auth API","dummyjson/auth.spec.ts","",""
"","37","Delete a pet","Pet Store API","Sun Apr 26 04:59:43 UTC 2026","passed","Sun Apr 26 04:59:44 UTC 2026","Pet Store - Pet API","petstore/pet.spec.ts","",""
"","686","should complete checkout flow","Coffee Cart","Sun Apr 26 04:59:48 UTC 2026","passed","Sun Apr 26 04:59:49 UTC 2026","CoffeeCart - Menu Tests","coffee-cart/menu.spec.ts","",""
"","1135","@e2e should complete full purchase flow","Sauce Demo","Sun Apr 26 04:59:44 UTC 2026","passed","Sun Apr 26 04:59:45 UTC 2026","","sauce-demo/e2e-checkout.spec.ts","",""
"","556","should add espresso to cart","Coffee Cart","Sun Apr 26 04:59:46 UTC 2026","passed","Sun Apr 26 04:59:47 UTC 2026","CoffeeCart with POM","coffee-cart/menu-pom.spec.ts","",""
"","46","Login user","Pet Store API","Sun Apr 26 04:59:44 UTC 2026","passed","Sun Apr 26 04:59:44 UTC 2026","Pet Store - User API","petstore/user.spec.ts","",""
"","720","should complete full order","Coffee Cart","Sun Apr 26 04:59:47 UTC 2026","passed","Sun Apr 26 04:59:48 UTC 2026","CoffeeCart with POM","coffee-cart/menu-pom.spec.ts","",""
"","59","POST add a new product","DummyJSON API","Sun Apr 26 04:59:42 UTC 2026","passed","Sun Apr 26 04:59:42 UTC 2026","DummyJSON Products API","dummyjson/product.spec.ts","",""
